MPCode	MP0311	MP0313	MP0315	MP0317	MP0319	MP0321	MP0323	MP0528	MP0530	MP0532	MP0534	MP0536	MP0538	MP0540	MP0778	MP0780	MP0782	MP0784	MP0786	MP0788	MP0790	MP0878	MP0880	MP0882	MP0884	MP0886	MP0888	MP1154	MP1162	MP1164	MP1166	MP1174	MP1176	MP1178	MP1409	MP1411	MP1413	MP1415	MP1417	MP1419	MP1421	MP1517	MP1519	MP1521	MP1523	MP1525	MP1527	MP1529	MP1672	MP1674	MP1676	MP1678	MP1680	MP1682	MP1684	MP1845	MP1847	MP1849	MP1851	MP1853	MP1855	MP1857	MP2231	MP2233bis	MP2235	MP2237	MP2239	MP2241	MP2243	MP2809	MP2811	MP2813	MP2815	MP2817	MP2819	MP2821
MP-RGC-v4_001193594	0.0	0.0	0.0	0.00010416989786	0.0	0.000737234066039	6.58439549158e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.00184961085925	0.0	0.0	0.0	0.0	0.0	0.0	0.00121871679222	0.000273587371204	0.0	0.0	0.0	0.0	0.00177739534636	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.51813604094e-05	0.0	0.0	0.000121082601008	0.0	0.0	0.00298683137261	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0021109098557	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000450872126603	0.0	0.00117998402061	0.0
MP-RGC-v4_005565479	0.0	0.0	0.0	0.0	0.0	0.0	0.000790130061669	0.0	0.0	0.0	0.0	0.0	0.0	5.96647755562e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00275192520202	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.31843946959e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MP-RGC-v4_006478459	0.0	0.0	0.000246512216096	0.0	0.0	0.0	0.00162068840868	0.0	0.0	0.0	0.0	0.0	0.0	0.000893923115222	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000345841797585	0.0	0.0	0.0	0.0	0.000504864804199	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000195136893738	0.00179814624859	0.00336035452703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000418340472655	0.0	0.0	0.0	0.0	0.0	0.0	0.000528146054224	0.0	0.0	0.0	0.0	8.04187362828e-05	0.0	0.000420930835175	0.0
MP-RGC-v4_007222296	0.0	0.00703836778402	0.000242959937276	0.0	0.0	0.0	0.0	0.0	0.00274461428571	0.00263977203484	0.00838867842145	0.0	0.0	0.0	0.0	0.000340492689411	0.0	0.0	0.0	0.0	0.0	0.00360710745291	0.00225125966721	0.0	0.0	0.0	0.0	0.000815115825202	0.000116928573167	0.0	0.0	0.0	0.0	0.0	0.00296498169115	0.000869164417233	0.0	0.0	0.0	0.0	0.0	0.0	0.000182459922504	0.000737714549015	0.0	0.0	0.0	0.0	0.0	0.00381383521761	0.0	0.0	0.0	0.0	0.0	0.000239149322844	0.000320060972562	0.0	0.0	0.0	0.0	0.0	0.00546701072265	0.000428774200748	0.0	0.0	0.0	0.0	0.0	0.000353856165813	0.00228536875496	0.0	0.0	0.0	0.0	0.0
MP-RGC-v4_007337955	0.0	0.00676651026476	0.0	0.0	0.0	0.0	0.0	0.0	0.00242131428571	0.00303758796612	0.00519970720055	0.0	0.0	0.0	0.0	0.000333759858219	0.000326413034058	0.0	0.0	0.0	0.0	0.00254576586861	0.00234466545582	0.0	0.0	0.0	0.0	0.00223719983029	0.0	0.0	0.0	0.0	0.0	0.0	0.0034347826087	0.00127796661288	0.0	0.0	0.0	0.0	0.0	0.0	0.00125196398724	0.00108469070384	0.0	0.0	0.0	0.0	0.0	0.00338238741634	0.000170889820511	0.0	0.0	0.0	0.0	0.00117210217088	0.000156866076932	0.0	0.0	0.0	0.0	0.0	0.0036537969035	0.000735517491491	0.0	0.0	0.0	0.0	0.0	0.000231239793225	0.0022401665345	0.0	0.0	0.0	0.0	0.0
MP-RGC-v4_007515495	0.0	0.00189494300489	0.0	0.0	0.0	0.0	0.0	0.0	0.00137230714286	0.000573864057254	0.00160371906664	0.0	0.0	0.0	0.0	0.000170246344705	0.0	0.0	0.0	0.0	0.0	0.000721419988585	0.000984927935318	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000808632518204	0.000434581454617	0.0	0.0	0.0	0.0	0.0	0.0	0.000547378817809	0.0	0.0	0.0	0.0	0.0	0.0	0.00145289068703	0.0	0.0	0.0	0.0	0.0	0.000956597291376	0.000320060972562	0.0	0.0	0.0	0.0	0.0	0.000869750236053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00114268239492	0.0	0.0	0.0	0.0	0.0
MP-RGC-v4_007516727	0.0	0.000655970748616	0.0	0.0	0.0	0.0	0.0	0.0	0.0018622	0.000111246400707	0.000239145231093	0.0	0.0	0.0	0.0	0.000165015330084	0.0	0.0	0.0	0.0	0.0	0.000699253507165	0.000272761893602	0.0	0.0	0.0	0.0	0.000158014255409	0.0	0.0	0.0	0.0	0.0	0.0	0.000914416992859	0.000280819748767	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000352062615798	0.0	0.0	0.0	0.0	0.0	0.000231801185023	0.0	0.0	0.0	0.0	0.0	0.0	0.000843026399183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MP-RGC-v4_007647303	0.0	0.000265353454228	0.0053585032121	0.00376953871141	0.0	0.0	0.0	0.0	0.000134517142857	0.0048376405367	0.00773911312589	0.000719782907812	0.000132422968203	0.0	0.0	0.000166879929109	0.000163206517029	0.0	0.000269475712596	0.0	0.0	0.0	0.00413765526131	0.00122216675486	0.0	0.0	0.0	0.00431458633857	0.0118054872556	0.00045481857877	0.0	0.0	0.0	0.0	0.000264214262665	0.00184595780616	9.80435439031e-05	0.0	0.0	0.0	0.0	0.0	0.00572325634402	0.00711075272946	0.00137705571879	0.0	0.0	0.0	0.0	0.000534060573978	0.00239246111686	0.000111625866872	0.000107419744918	0.0	0.0	0.0	0.0083138920819	0.00206077732147	0.0	0.0	0.0	0.0	0.00194868909498	0.00283699157507	0.000454608876175	0.0	0.0	0.0	0.0	0.0	0.00634716494845	0.00842236135957	0.00101000841598	0.0	0.0	0.0
MP-RGC-v4_007675294	0.0	0.000918359611672	0.00600510900905	0.00511188507246	0.000926448229886	0.0	0.0	0.0	0.000133014142857	0.00723101186422	0.0107615225571	0.00409250305764	0.000130943367038	0.0	0.0	0.000330031014621	0.000161382962128	0.0	0.000799394245812	0.0	0.0	0.000139850851633	0.00640988985236	0.00297479008377	0.000536661255151	0.0	0.0	0.00237021637675	0.00612012805219	0.00251852853665	0.0014032535461	0.0	0.0	0.0001556047629	0.000914416992859	0.00224655799014	0.00174506721088	0.000440002457328	0.0	0.0	0.0	0.0	0.00300651496733	0.00357524094766	0.00297092412619	0.0	0.0	0.0	0.0	0.0	0.000675920582204	0.00154530259024	0.000637316616852	0.00138002074996	0.0	0.0	0.0038778383061	0.0015582862366	0.00235378878847	0.0	0.0	0.0	0.0026495156054	0.00342870055236	0.000899058550893	0.0	0.0	0.0	0.0	0.0	0.00719920697859	0.00523489649885	0.000998721101008	0.0	0.0	0.0
MP-RGC-v4_007680710	0.0	0.0	0.00570955789367	0.00175797504261	0.0	0.0	0.0	0.0	0.0	0.00436137495968	0.00493451822933	0.000550727144168	0.0	0.0	0.0	0.000340492689411	0.000832493283647	0.0	0.000183274506811	0.0	0.0	0.0	0.00211055776892	0.000479544524207	0.0	0.0	0.0	0.00195628341112	0.00876963994449	0.00027839561034	0.0	0.0	0.0	0.0	0.000269544172735	0.00115888588964	0.000200042690101	0.0	0.0	0.0	0.0	0.0	0.00419656967026	0.00602466433719	0.000638561761304	0.0	0.0	0.0	0.0	0.000181611335879	0.00156903322989	0.000683265959339	0.0	0.0	0.0	0.0	0.00640121945125	0.00210235977188	0.0	0.0	0.0	0.0	0.00111825048827	0.00375177146683	0.000115944889018	0.0	0.0	0.0	0.0	0.0	0.0047611816019	0.00711930743675	0.000792599712867	0.0	0.0	0.0
