gene	HM_MG10	HM_MG11	HM_MG12	HM_MG13	HM_MG14	HM_MG15	HM_MG16	HM_MG17	HM_MG18	HM_MG19	HM_MG20	HM_MG21	HM_MG22	HM_MG23	HM_MG24	HM_MG3	HM_MG4	HM_MG5	HM_MG6	HM_MG7	HM_MG8	HM_MG9
HM_MG7_507302	0.0	0.0	0.0	8.8184313159e-05	0.0	0.0	0.0	0.000194364085938	8.38524032882e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00164641055441	0.0	0.0
HM_MG7_664075	0.0	0.00461301533258	0.00103660034167	0.000157348692763	0.0	0.0	0.004643334991	0.00121382142724	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00535820990691	0.00251803765702	0.0	0.0
HM_MG8_178002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000229655991519	0.0	0.0	0.0	0.0	0.000265373971381	0.0
HM_MG8_242114	0.0	0.0	0.000293296658978	7.79105878954e-05	0.0	0.0	0.0	0.000257579552268	0.0	0.0	0.0	0.000115511875103	0.000458983843151	0.0	0.0	0.000458674195395	0.0	0.0	0.000147394381593	0.0	0.00126142572505	0.0
HM_MG8_282733	0.0	0.0	0.0	0.000588973951562	0.0	0.0	0.0	8.11334971161e-05	0.00056004157138	0.0	0.0	0.0	0.000260231630662	0.0	0.0	0.00121359649869	6.65703046939e-05	0.0	0.0	0.0	0.00154257433915	0.0
HM_MG8_413748	0.0	0.0	0.0	0.000445820694304	0.0	0.0	0.0	0.0	0.000254352289974	0.0	0.0	0.0	0.000105056390124	0.000816494345363	0.0	0.00209971313729	0.0	0.0	0.0	0.0	0.0022928259768	0.00025645221598
HM_MG8_50487	0.0	0.0	0.0	9.66840001926e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00250447585194	0.0	0.0	0.0	0.0	0.00220995178187	0.0
HM_MG8_517542	0.0	0.0	0.0	0.00036895613655	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000434717368612	0.00010558133639	0.0	0.00282375234564	0.0	0.0	0.0	0.0	0.00193265052976	0.0
HM_MG8_548814	0.0	0.0	0.0	3.99241658241e-05	3.53827115715e-05	0.0	0.0	0.0	3.79629566041e-05	2.85289371643e-05	0.0	0.0	0.0	0.000319894843588	0.0	0.00173931493103	0.0	0.0	0.0	0.0	0.00285177109343	7.65529864147e-05
HM_MG9_87741	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000131561742427	0.000296603783972	0.0	0.0	0.0	0.00601813782765	0.0	0.000977453498194	0.000750639450214	0.0	0.0	0.0	0.00158125889903	0.00437737442933
